epoch,A_e,Q_e,S_e,L_queue_e,L_batch_e,L_cons_e,L_bar_e,RTT_e,chi_e,h_e,U_e,Z_e,m_e,b_e,tau_e,theta_e,eligible_size,executed_committee_size,pollute_rate,unsafe,reward_terms,cost_terms,reward,cost,timeout_failure,leader_unstable,tps,mask_ratio,queue_next,invalid_action,committee_members,dim_weights,context_vector,trust_scores,malicious_true,malicious_pred,episode,step
0,258,0.0,128.0,0.0,0.0,18.06045215071235,18.06045215071235,29.500223218423884,0.07407407407407407,0.8571428571428571,0,1,7,128,20,0.4,25,7,0.27434842249657065,0,"{'throughput': 7.775699846978675, 'latency': -1.444836172056988, 'queue': -3.25, 'smooth': -0.96, 'invalid_action': -6.0}","{'unsafe': 0.0, 'honest_deficit': 0.05714285714285716}",-3.8791363250783126,0.05714285714285716,0,0,7087.308719175747,0.52,130.0,1,"[26, 19, 11, 24, 15, 14, 3]","{'svc': 0.24852421879768372, 'con': 0.25113365054130554, 'rec': 0.25518250465393066, 'stab': 0.2451595962047577}","[258.0, 0.0, 0.0, 29.50022315979004, 0.07407407462596893, 27.0]","[0.6791611909866333, 0.47705546021461487, 0.46829962730407715, 0.6489799618721008, 0.6670438647270203, 0.439603328704834, 0.22927743196487427, 0.6751008629798889, 0.6661410331726074, 0.4565751254558563, 0.6765727400779724, 0.6751465201377869, 0.649395763874054, 0.4281575679779053, 0.6582676768302917, 0.44541773200035095, 0.21739639341831207, 0.6758686304092407, 0.43456295132637024, 0.68016517162323, 0.43586447834968567, 0.6769410967826843, 0.42434921860694885, 0.661241888999939, 0.6771997809410095, 0.6633245348930359, 0.6594710946083069]","[0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0]",0,0
1,263,130.0,128.0,0.08125,0.0,14.119717482760253,14.200967482760253,16.364440991916894,0.07407407407407407,1.0,0,1,7,128,20,0.4,25,7,0.27709190672153633,0,"{'throughput': 7.775699846978675, 'latency': -1.1360773986208204, 'queue': -6.625, 'smooth': -0.0, 'invalid_action': -6.0}","{'unsafe': 0.0, 'honest_deficit': 0.0}",-5.985377551642145,0.0,0,0,9013.470395970553,0.2025,265.0,1,"[17, 4, 14, 26, 12, 3, 19]","{'svc': 0.20507162809371948, 'con': 0.2692249119281769, 'rec': 0.26669052243232727, 'stab': 0.25901293754577637}","[263.0, 130.0, 18.06045150756836, 16.36444091796875, 0.07407407462596893, 25.0]","[0.41475987434387207, 0.4628807604312897, 0.46483170986175537, 0.6930757164955139, 0.7216155529022217, 0.44946005940437317, 0.14899052679538727, 0.7227463126182556, 0.7197494506835938, 0.44606634974479675, 0.7202351093292236, 0.7206141352653503, 0.7108588814735413, 0.4488706588745117, 0.7107553482055664, 0.46049925684928894, 0.44489583373069763, 0.7204970121383667, 0.4466851055622101, 0.730461061000824, 0.4608028829097748, 0.7276257276535034, 0.43277889490127563, 0.7350032925605774, 0.7283853888511658, 0.7102763652801514, 0.7056241035461426]","[0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]",0,1
2,256,265.0,0.0,0.165625,0.0,22.29128514121615,142.45691014121616,34.961024544794576,0.1111111111111111,0.5714285714285714,1,0,7,128,20,0.4,24,7,0.27983539094650206,1,"{'throughput': 0.0, 'latency': -11.396552811297292, 'queue': -13.025, 'smooth': -0.0, 'invalid_action': -6.0}","{'unsafe': 1.0, 'honest_deficit': 0.17142857142857146}",-30.421552811297293,1.1714285714285715,0,0,0.0,0.2025,521.0,1,"[20, 8, 1, 22, 12, 4, 3]","{'svc': 0.20145739614963531, 'con': 0.27098548412323, 'rec': 0.2830533981323242, 'stab': 0.24450361728668213}","[256.0, 265.0, 14.200967788696289, 34.96102523803711, 0.1111111119389534, 25.0]","[0.5103839039802551, 0.4210178852081299, 0.45155271887779236, 0.7139884829521179, 0.737373948097229, 0.4361729919910431, 0.1231771931052208, 0.7385931611061096, 0.732293426990509, 0.44753575325012207, 0.5386993288993835, 0.729789674282074, 0.7222660183906555, 0.4324806034564972, 0.7264760732650757, 0.45272716879844666, 0.5498266816139221, 0.7231927514076233, 0.43888145685195923, 0.7334845662117004, 0.43518486618995667, 0.7422313690185547, 0.42410406470298767, 0.7370449304580688, 0.5146714448928833, 0.7232987284660339, 0.7165374159812927]","[0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0]",0,2
3,283,521.0,128.0,0.325625,0.0,14.74379804565704,15.069423045657041,27.086684843548163,0.037037037037037035,1.0,0,1,7,128,20,0.4,15,7,0.2784636488340192,0,"{'throughput': 7.775699846978675, 'latency': -1.2055538436525632, 'queue': -16.900000000000002, 'smooth': -0.0, 'invalid_action': -6.0}","{'unsafe': 0.0, 'honest_deficit': 0.0}",-16.32985399667389,0.0,0,0,8494.021278199445,0.2025,676.0,1,"[8, 17, 25, 11, 21, 4, 26]","{'svc': 0.19062209129333496, 'con': 0.2777375876903534, 'rec': 0.2703693211078644, 'stab': 0.2612709701061249}","[283.0, 521.0, 142.4569091796875, 27.086685180664062, 0.03703703731298447, 24.0]","[0.5573170185089111, 0.3548203408718109, 0.39683741331100464, 0.7152467966079712, 0.7306057810783386, 0.35774683952331543, 0.08244755864143372, 0.7272214889526367, 0.7217978239059448, 0.3713211715221405, 0.41808369755744934, 0.7259602546691895, 0.7159550189971924, 0.3619231581687927, 0.715689480304718, 0.3736879229545593, 0.5824330449104309, 0.7169883251190186, 0.3713531494140625, 0.7216972708702087, 0.36472809314727783, 0.7335161566734314, 0.342411607503891, 0.7316212058067322, 0.3994826674461365, 0.7129935622215271, 0.7093013525009155]","[0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0]","[0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0]",0,3
4,274,676.0,128.0,0.4225,0.0,14.242935574456139,14.665435574456138,16.775167964236513,0.07407407407407407,1.0,0,1,7,128,20,0.4,14,7,0.27983539094650206,0,"{'throughput': 7.775699846978675, 'latency': -1.1732348459564912, 'queue': -20.55, 'smooth': -0.0, 'invalid_action': -6.0}","{'unsafe': 0.0, 'honest_deficit': 0.0}",-19.947534998977815,0.0,0,0,8728.005339503654,0.2025,822.0,1,"[7, 8, 12, 23, 17, 25, 4]","{'svc': 0.22033554315567017, 'con': 0.26930856704711914, 'rec': 0.2569839358329773, 'stab': 0.2533718943595886}","[274.0, 676.0, 15.069422721862793, 16.77516746520996, 0.07407407462596893, 15.0]","[0.5834769010543823, 0.2954972982406616, 0.32294580340385437, 0.7103646397590637, 0.7201992273330688, 0.28125327825546265, 0.1993648111820221, 0.724856436252594, 0.7224729061126709, 0.298830509185791, 0.3377327620983124, 0.7212362885475159, 0.7084753513336182, 0.30874305963516235, 0.6999901533126831, 0.31042924523353577, 0.6052882075309753, 0.708055317401886, 0.29733818769454956, 0.6032849550247192, 0.2892792522907257, 0.7283516526222229, 0.2760714292526245, 0.7226160764694214, 0.3224885165691376, 0.7197415232658386, 0.717532217502594]","[0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0]","[0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0]",0,4
5,274,822.0,128.0,0.51375,0.0,17.324660470227492,17.838410470227494,27.047584283474364,0.07407407407407407,1.0,0,1,7,128,20,0.4,14,7,0.2674897119341564,0,"{'throughput': 7.775699846978675, 'latency': -1.4270728376181996, 'queue': -24.200000000000003, 'smooth': -0.0, 'invalid_action': -6.0}","{'unsafe': 0.0, 'honest_deficit': 0.0}",-23.851372990639526,0.0,0,0,7175.527226130009,0.2025,968.0,1,"[25, 8, 17, 21, 12, 3, 23]","{'svc': 0.22085292637348175, 'con': 0.2633647918701172, 'rec': 0.26206710934638977, 'stab': 0.25371524691581726}","[274.0, 822.0, 14.665435791015625, 27.047584533691406, 0.07407407462596893, 14.0]","[0.5946387052536011, 0.2605176866054535, 0.27712833881378174, 0.7014839053153992, 0.7151930928230286, 0.243687704205513, 0.2820860743522644, 0.7216219902038574, 0.7159249782562256, 0.25431060791015625, 0.27312132716178894, 0.7223578691482544, 0.7005869746208191, 0.259779691696167, 0.6892998218536377, 0.2690223157405853, 0.6207044124603271, 0.6996766328811646, 0.258068323135376, 0.5116756558418274, 0.25268247723579407, 0.7285817265510559, 0.24737675487995148, 0.707608699798584, 0.3925671875476837, 0.7088603377342224, 0.7096046209335327]","[0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0]","[0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0]",0,5
6,261,968.0,128.0,0.605,0.0,18.871435315879083,19.476435315879083,32.20350043564632,0.07407407407407407,1.0,0,1,7,128,20,0.4,16,7,0.28532235939643347,0,"{'throughput': 7.775699846978675, 'latency': -1.5581148252703267, 'queue': -27.525000000000002, 'smooth': -0.0, 'invalid_action': -6.0}","{'unsafe': 0.0, 'honest_deficit': 0.0}",-27.307414978291654,0.0,0,0,6572.0445206747845,0.2025,1101.0,1,"[14, 4, 11, 26, 17, 7, 23]","{'svc': 0.21251508593559265, 'con': 0.25309136509895325, 'rec': 0.2673364579677582, 'stab': 0.2670570909976959}","[261.0, 968.0, 17.838411331176758, 32.20349884033203, 0.07407407462596893, 14.0]","[0.6124568581581116, 0.24056224524974823, 0.2527271807193756, 0.6931031346321106, 0.699834942817688, 0.21454598009586334, 0.3451540172100067, 0.7137534022331238, 0.7112742066383362, 0.234011709690094, 0.3415233790874481, 0.7136178612709045, 0.6965956687927246, 0.23361507058143616, 0.6834015250205994, 0.23971226811408997, 0.6222941279411316, 0.6867170929908752, 0.2346157431602478, 0.5397157073020935, 0.22928667068481445, 0.7126511335372925, 0.2209424376487732, 0.7040152549743652, 0.43888789415359497, 0.6910905838012695, 0.7030234932899475]","[0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0]","[0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0]",0,6
7,234,1101.0,128.0,0.688125,0.0,25.027643070884046,25.715768070884046,18.156291717761626,0.2222222222222222,1.0,0,1,7,128,20,0.4,12,7,0.27983539094650206,0,"{'throughput': 7.775699846978675, 'latency': -2.057261445670724, 'queue': -30.175, 'smooth': -0.0, 'invalid_action': -6.0}","{'unsafe': 0.0, 'honest_deficit': 0.0}",-30.456561598692048,0.0,0,0,4977.490839362656,0.1125,1207.0,1,"[17, 21, 11, 23, 3, 16, 4]","{'svc': 0.21073707938194275, 'con': 0.27629944682121277, 'rec': 0.2510097324848175, 'stab': 0.2619536519050598}","[234.0, 1101.0, 19.4764347076416, 18.156291961669922, 0.2222222238779068, 16.0]","[0.5466910004615784, 0.21482227742671967, 0.22026285529136658, 0.6905192136764526, 0.6921930313110352, 0.19015660881996155, 0.38959863781929016, 0.6266966462135315, 0.6283705830574036, 0.2089039385318756, 0.39249280095100403, 0.7013662457466125, 0.6853123307228088, 0.21691608428955078, 0.6031970977783203, 0.2179023027420044, 0.620259702205658, 0.68486088514328, 0.20037499070167542, 0.5509073734283447, 0.20460259914398193, 0.701953113079071, 0.2003358006477356, 0.6868825554847717, 0.46706774830818176, 0.6819809675216675, 0.6910350918769836]","[0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0]","[0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0]",0,7
8,260,1207.0,128.0,0.754375,0.0,19.0683004108351,19.8226754108351,24.21774211019107,0.1111111111111111,1.0,0,1,7,128,20,0.4,15,7,0.2825788751714678,0,"{'throughput': 7.775699846978675, 'latency': -1.585814032866808, 'queue': -33.475, 'smooth': -0.0, 'invalid_action': -6.0}","{'unsafe': 0.0, 'honest_deficit': 0.0}",-33.28511418588813,0.0,0,0,6457.251473231259,0.18,1339.0,1,"[11, 21, 3, 12, 25, 14, 23]","{'svc': 0.21588779985904694, 'con': 0.2574461102485657, 'rec': 0.2514691948890686, 'stab': 0.2751968801021576}","[260.0, 1207.0, 25.715768814086914, 24.217742919921875, 0.1111111119389534, 12.0]","[0.4968952536582947, 0.23500248789787292, 0.22962510585784912, 0.6932401657104492, 0.6896702647209167, 0.1999213695526123, 0.440132737159729, 0.5616428852081299, 0.5724273920059204, 0.1798679083585739, 0.44540324807167053, 0.7090135812759399, 0.6965929269790649, 0.199325829744339, 0.6222925186157227, 0.2216387689113617, 0.6322009563446045, 0.6880657076835632, 0.2148016095161438, 0.571823239326477, 0.21486173570156097, 0.6980634927749634, 0.21776796877384186, 0.686890721321106, 0.4988399147987366, 0.6796823740005493, 0.6961784958839417]","[0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0]","[0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0]",0,8
9,274,1339.0,128.0,0.836875,0.0,21.116021634619266,21.952896634619265,39.68545483144693,0.07407407407407407,1.0,0,1,7,128,20,0.4,13,7,0.27434842249657065,0,"{'throughput': 7.775699846978675, 'latency': -1.7562317307695412, 'queue': -37.125, 'smooth': -0.0, 'invalid_action': -6.0}","{'unsafe': 0.0, 'honest_deficit': 0.0}",-37.10553188379087,0.0,0,0,5830.665635173931,0.135,1485.0,1,"[26, 14, 16, 11, 17, 3, 21]","{'svc': 0.2204020619392395, 'con': 0.2569475471973419, 'rec': 0.25349006056785583, 'stab': 0.26916030049324036}","[274.0, 1339.0, 19.822675704956055, 39.685455322265625, 0.07407407462596893, 15.0]","[0.42049917578697205, 0.21756330132484436, 0.2082630842924118, 0.672256588935852, 0.6218888163566589, 0.17499925196170807, 0.45327040553092957, 0.48843932151794434, 0.49935775995254517, 0.16097413003444672, 0.454519659280777, 0.684501588344574, 0.6758635640144348, 0.1831493377685547, 0.6082759499549866, 0.20637142658233643, 0.6183623671531677, 0.6683201193809509, 0.19667866826057434, 0.564727783203125, 0.20377732813358307, 0.6738888025283813, 0.2002166509628296, 0.6619464159011841, 0.44076207280158997, 0.6583123803138733, 0.6725413799285889]","[0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0]","[1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0]",0,9
